fqn,org.springframework.samples.petclinic.package-info,org.springframework.samples.petclinic.PetClinicApplication,org.springframework.samples.petclinic.PetClinicRuntimeHints,org.springframework.samples.petclinic.model.BaseEntity,org.springframework.samples.petclinic.model.NamedEntity,org.springframework.samples.petclinic.model.package-info,org.springframework.samples.petclinic.model.Person,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.OwnerRepository,org.springframework.samples.petclinic.owner.package-info,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.PetType,org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.PetTypeRepository,org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.system.CacheConfiguration,org.springframework.samples.petclinic.system.CrashController,org.springframework.samples.petclinic.system.package-info,org.springframework.samples.petclinic.system.WebConfiguration,org.springframework.samples.petclinic.system.WelcomeController,org.springframework.samples.petclinic.vet.package-info,org.springframework.samples.petclinic.vet.Specialty,org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.VetRepository,org.springframework.samples.petclinic.vet.Vets
org.springframework.samples.petclinic.package-info,1.0000,0.7862,0.7752,0.6744,0.6471,0.7149,0.6957,0.2805,0.2566,0.2829,0.8500,0.3518,0.2738,0.7217,0.6325,0.6675,0.6420,0.3599,0.2516,0.6274,0.6528,0.8500,0.6162,0.7251,0.8500,0.7032,0.3482,0.3119,0.3134,0.6737
org.springframework.samples.petclinic.PetClinicApplication,0.7862,1.0000,0.7311,0.6532,0.6420,0.6759,0.6644,0.3115,0.2733,0.3137,0.7362,0.3453,0.2825,0.6783,0.6408,0.6539,0.6416,0.3728,0.2846,0.6346,0.6471,0.7362,0.6363,0.6806,0.7362,0.6703,0.3433,0.3010,0.3293,0.6558
org.springframework.samples.petclinic.PetClinicRuntimeHints,0.7752,0.7311,1.0000,0.6538,0.6438,0.6730,0.6634,0.3173,0.2778,0.3183,0.7252,0.3463,0.2850,0.6750,0.6396,0.6538,0.6434,0.3497,0.2762,0.6378,0.6482,0.7252,0.6333,0.6770,0.7252,0.6681,0.3447,0.3010,0.3306,0.6558
org.springframework.samples.petclinic.model.BaseEntity,0.6744,0.6532,0.6538,1.0000,0.7877,0.7055,0.7431,0.3344,0.2781,0.3246,0.6744,0.3558,0.2843,0.6595,0.6353,0.6462,0.6444,0.3719,0.2853,0.6349,0.6413,0.6744,0.6171,0.6516,0.6744,0.6551,0.3683,0.2976,0.3426,0.6543
org.springframework.samples.petclinic.model.NamedEntity,0.6471,0.6420,0.6438,0.7877,1.0000,0.6946,0.7310,0.3465,0.2844,0.3309,0.6471,0.3562,0.2937,0.6468,0.6506,0.6422,0.6436,0.3561,0.2827,0.6344,0.6388,0.6471,0.6253,0.6529,0.6471,0.6455,0.3567,0.2926,0.3426,0.6468
org.springframework.samples.petclinic.model.package-info,0.7149,0.6759,0.6730,0.7055,0.6946,1.0000,0.7087,0.3194,0.2810,0.3214,0.7149,0.3435,0.2836,0.6701,0.6419,0.6538,0.6462,0.3468,0.2753,0.6420,0.6509,0.7149,0.6328,0.6724,0.7149,0.6641,0.3419,0.2983,0.3339,0.6563
org.springframework.samples.petclinic.model.Person,0.6957,0.6644,0.6634,0.7431,0.7310,0.7087,1.0000,0.3360,0.2786,0.3248,0.6957,0.3645,0.2781,0.6580,0.6300,0.6459,0.6446,0.3851,0.2738,0.6358,0.6392,0.6957,0.6244,0.6618,0.6957,0.6539,0.3739,0.2961,0.3266,0.6640
org.springframework.samples.petclinic.owner.Owner,0.2805,0.3115,0.3173,0.3344,0.3465,0.3194,0.3360,1.0000,0.0504,0.7134,0.3305,0.3980,0.0505,0.3679,0.3849,0.3792,0.3862,0.3897,0.0501,0.3398,0.3323,0.2805,0.3379,0.3229,0.2805,0.3205,0.3427,-0.0219,0.3417,0.3320
org.springframework.samples.petclinic.owner.OwnerController,0.2566,0.2733,0.2778,0.2781,0.2844,0.2810,0.2786,0.0504,1.0000,0.0425,0.3066,0.0376,0.4028,0.3271,0.3403,0.3306,0.3368,0.0294,0.3830,0.2848,0.2902,0.2566,0.2835,0.2754,0.2566,0.2802,-0.0122,0.3178,-0.0138,0.2830
org.springframework.samples.petclinic.owner.OwnerRepository,0.2829,0.3137,0.3183,0.3246,0.3309,0.3214,0.3248,0.7134,0.0425,1.0000,0.3329,0.3811,0.0360,0.3713,0.3874,0.4015,0.3889,0.3734,0.0413,0.3396,0.3361,0.2829,0.3413,0.3170,0.2829,0.3221,0.3295,-0.0238,0.4101,0.3251
org.springframework.samples.petclinic.owner.package-info,0.8500,0.7362,0.7252,0.6744,0.6471,0.7149,0.6957,0.3305,0.3066,0.3329,1.0000,0.4018,0.3238,0.7716,0.6825,0.7175,0.6920,0.4099,0.3016,0.6274,0.6528,0.8500,0.6162,0.7251,0.8500,0.7032,0.3482,0.3119,0.3134,0.6737
org.springframework.samples.petclinic.owner.Pet,0.3518,0.3453,0.3463,0.3558,0.3562,0.3435,0.3645,0.3980,0.0376,0.3811,0.4018,1.0000,0.0397,0.3996,0.3908,0.3866,0.3934,0.4379,0.0378,0.3357,0.3359,0.3518,0.3304,0.3446,0.3518,0.3480,0.3659,-0.0020,0.3378,0.3469
org.springframework.samples.petclinic.owner.PetController,0.2738,0.2825,0.2850,0.2843,0.2937,0.2836,0.2781,0.0505,0.4028,0.0360,0.3238,0.0397,1.0000,0.3455,0.3351,0.3348,0.3403,0.0340,0.3705,0.2832,0.2840,0.2738,0.2832,0.3057,0.2738,0.2870,-0.0085,0.2951,-0.0192,0.2880
org.springframework.samples.petclinic.owner.PetType,0.7217,0.6783,0.6750,0.6595,0.6468,0.6701,0.6580,0.3679,0.3271,0.3713,0.7716,0.3996,0.3455,1.0000,0.6902,0.7001,0.6947,0.3948,0.3249,0.6353,0.6446,0.7217,0.6322,0.6741,0.7217,0.6746,0.3477,0.3048,0.3396,0.6558
org.springframework.samples.petclinic.owner.PetTypeFormatter,0.6325,0.6408,0.6396,0.6353,0.6506,0.6419,0.6300,0.3849,0.3403,0.3874,0.6825,0.3908,0.3351,0.6902,1.0000,0.6900,0.6921,0.3838,0.3419,0.6379,0.6502,0.6325,0.6382,0.6381,0.6325,0.6410,0.3356,0.3000,0.3430,0.6367
org.springframework.samples.petclinic.owner.PetTypeRepository,0.6675,0.6539,0.6538,0.6462,0.6422,0.6538,0.6459,0.3792,0.3306,0.4015,0.7175,0.3866,0.3348,0.7001,0.6900,1.0000,0.6891,0.3938,0.3309,0.6395,0.6410,0.6675,0.6352,0.6527,0.6675,0.6490,0.3405,0.2904,0.3641,0.6481
org.springframework.samples.petclinic.owner.PetValidator,0.6420,0.6416,0.6434,0.6444,0.6436,0.6462,0.6446,0.3862,0.3368,0.3889,0.6920,0.3934,0.3403,0.6947,0.6921,0.6891,1.0000,0.3900,0.3353,0.6386,0.6394,0.6420,0.6433,0.6420,0.6420,0.6445,0.3416,0.2930,0.3403,0.6444
org.springframework.samples.petclinic.owner.Visit,0.3599,0.3728,0.3497,0.3719,0.3561,0.3468,0.3851,0.3897,0.0294,0.3734,0.4099,0.4379,0.0340,0.3948,0.3838,0.3938,0.3900,1.0000,0.0431,0.3442,0.3369,0.3599,0.3296,0.3481,0.3599,0.3440,0.3627,-0.0089,0.3317,0.3556
org.springframework.samples.petclinic.owner.VisitController,0.2516,0.2846,0.2762,0.2853,0.2827,0.2753,0.2738,0.0501,0.3830,0.0413,0.3016,0.0378,0.3705,0.3249,0.3419,0.3309,0.3353,0.0431,1.0000,0.2874,0.2898,0.2516,0.2888,0.2740,0.2516,0.2787,-0.0139,0.2866,-0.0151,0.2827
org.springframework.samples.petclinic.system.CacheConfiguration,0.6274,0.6346,0.6378,0.6349,0.6344,0.6420,0.6358,0.3398,0.2848,0.3396,0.6274,0.3357,0.2832,0.6353,0.6379,0.6395,0.6386,0.3442,0.2874,1.0000,0.6923,0.6774,0.6912,0.6863,0.6274,0.6355,0.3363,0.2835,0.3349,0.6418
org.springframework.samples.petclinic.system.CrashController,0.6528,0.6471,0.6482,0.6413,0.6388,0.6509,0.6392,0.3323,0.2902,0.3361,0.6528,0.3359,0.2840,0.6446,0.6502,0.6410,0.6394,0.3369,0.2898,0.6923,1.0000,0.7028,0.6901,0.6971,0.6528,0.6444,0.3349,0.2891,0.3376,0.6445
org.springframework.samples.petclinic.system.package-info,0.8500,0.7362,0.7252,0.6744,0.6471,0.7149,0.6957,0.2805,0.2566,0.2829,0.8500,0.3518,0.2738,0.7217,0.6325,0.6675,0.6420,0.3599,0.2516,0.6774,0.7028,1.0000,0.6662,0.7751,0.8500,0.7032,0.3482,0.3119,0.3134,0.6737
org.springframework.samples.petclinic.system.WebConfiguration,0.6162,0.6363,0.6333,0.6171,0.6253,0.6328,0.6244,0.3379,0.2835,0.3413,0.6162,0.3304,0.2832,0.6322,0.6382,0.6352,0.6433,0.3296,0.2888,0.6912,0.6901,0.6662,1.0000,0.6817,0.6162,0.6321,0.3297,0.2830,0.3370,0.6321
org.springframework.samples.petclinic.system.WelcomeController,0.7251,0.6806,0.6770,0.6516,0.6529,0.6724,0.6618,0.3229,0.2754,0.3170,0.7251,0.3446,0.3057,0.6741,0.6381,0.6527,0.6420,0.3481,0.2740,0.6863,0.6971,0.7751,0.6817,1.0000,0.7251,0.6673,0.3428,0.2997,0.3283,0.6545
org.springframework.samples.petclinic.vet.package-info,0.8500,0.7362,0.7252,0.6744,0.6471,0.7149,0.6957,0.2805,0.2566,0.2829,0.8500,0.3518,0.2738,0.7217,0.6325,0.6675,0.6420,0.3599,0.2516,0.6274,0.6528,0.8500,0.6162,0.7251,1.0000,0.7532,0.3982,0.3619,0.3634,0.7237
org.springframework.samples.petclinic.vet.Specialty,0.7032,0.6703,0.6681,0.6551,0.6455,0.6641,0.6539,0.3205,0.2802,0.3221,0.7032,0.3480,0.2870,0.6746,0.6410,0.6490,0.6445,0.3440,0.2787,0.6355,0.6444,0.7032,0.6321,0.6673,0.7532,1.0000,0.4174,0.3608,0.3828,0.7091
org.springframework.samples.petclinic.vet.Vet,0.3482,0.3433,0.3447,0.3683,0.3567,0.3419,0.3739,0.3427,-0.0122,0.3295,0.3482,0.3659,-0.0085,0.3477,0.3356,0.3405,0.3416,0.3627,-0.0139,0.3363,0.3349,0.3482,0.3297,0.3428,0.3982,0.4174,1.0000,0.0548,0.6964,0.4105
org.springframework.samples.petclinic.vet.VetController,0.3119,0.3010,0.3010,0.2976,0.2926,0.2983,0.2961,-0.0219,0.3178,-0.0238,0.3119,-0.0020,0.2951,0.3048,0.3000,0.2904,0.2930,-0.0089,0.2866,0.2835,0.2891,0.3119,0.2830,0.2997,0.3619,0.3608,0.0548,1.0000,0.0344,0.3636
