fqn,hac_cluster
org.springframework.samples.petclinic.package-info,0
org.springframework.samples.petclinic.PetClinicApplication,0
org.springframework.samples.petclinic.PetClinicRuntimeHints,0
org.springframework.samples.petclinic.model.BaseEntity,0
org.springframework.samples.petclinic.model.NamedEntity,0
org.springframework.samples.petclinic.model.package-info,0
org.springframework.samples.petclinic.model.Person,0
org.springframework.samples.petclinic.owner.Owner,1
org.springframework.samples.petclinic.owner.OwnerController,2
org.springframework.samples.petclinic.owner.OwnerRepository,1
org.springframework.samples.petclinic.owner.package-info,0
org.springframework.samples.petclinic.owner.Pet,1
org.springframework.samples.petclinic.owner.PetController,2
org.springframework.samples.petclinic.owner.PetType,0
org.springframework.samples.petclinic.owner.PetTypeFormatter,0
org.springframework.samples.petclinic.owner.PetTypeRepository,0
org.springframework.samples.petclinic.owner.PetValidator,0
org.springframework.samples.petclinic.owner.Visit,1
org.springframework.samples.petclinic.owner.VisitController,2
org.springframework.samples.petclinic.system.CacheConfiguration,0
org.springframework.samples.petclinic.system.CrashController,0
org.springframework.samples.petclinic.system.package-info,0
org.springframework.samples.petclinic.system.WebConfiguration,0
org.springframework.samples.petclinic.system.WelcomeController,0
org.springframework.samples.petclinic.vet.package-info,0
org.springframework.samples.petclinic.vet.Specialty,0
org.springframework.samples.petclinic.vet.Vet,3
org.springframework.samples.petclinic.vet.VetController,4
org.springframework.samples.petclinic.vet.VetRepository,3
org.springframework.samples.petclinic.vet.Vets,0
