fqn,louvain_cluster
org.springframework.samples.petclinic.package-info,2
org.springframework.samples.petclinic.PetClinicApplication,2
org.springframework.samples.petclinic.PetClinicRuntimeHints,2
org.springframework.samples.petclinic.model.BaseEntity,1
org.springframework.samples.petclinic.model.NamedEntity,1
org.springframework.samples.petclinic.model.package-info,1
org.springframework.samples.petclinic.model.Person,1
org.springframework.samples.petclinic.owner.Owner,0
org.springframework.samples.petclinic.owner.OwnerController,1
org.springframework.samples.petclinic.owner.OwnerRepository,0
org.springframework.samples.petclinic.owner.package-info,2
org.springframework.samples.petclinic.owner.Pet,0
org.springframework.samples.petclinic.owner.PetController,1
org.springframework.samples.petclinic.owner.PetType,1
org.springframework.samples.petclinic.owner.PetTypeFormatter,1
org.springframework.samples.petclinic.owner.PetTypeRepository,1
org.springframework.samples.petclinic.owner.PetValidator,1
org.springframework.samples.petclinic.owner.Visit,0
org.springframework.samples.petclinic.owner.VisitController,1
org.springframework.samples.petclinic.system.CacheConfiguration,1
org.springframework.samples.petclinic.system.CrashController,1
org.springframework.samples.petclinic.system.package-info,2
org.springframework.samples.petclinic.system.WebConfiguration,1
org.springframework.samples.petclinic.system.WelcomeController,1
org.springframework.samples.petclinic.vet.package-info,2
org.springframework.samples.petclinic.vet.Specialty,1
org.springframework.samples.petclinic.vet.Vet,0
org.springframework.samples.petclinic.vet.VetController,1
org.springframework.samples.petclinic.vet.VetRepository,0
org.springframework.samples.petclinic.vet.Vets,1
