fqn,spectral_cluster
org.springframework.samples.petclinic.package-info,2
org.springframework.samples.petclinic.PetClinicApplication,2
org.springframework.samples.petclinic.PetClinicRuntimeHints,2
org.springframework.samples.petclinic.model.BaseEntity,2
org.springframework.samples.petclinic.model.NamedEntity,2
org.springframework.samples.petclinic.model.package-info,2
org.springframework.samples.petclinic.model.Person,2
org.springframework.samples.petclinic.owner.Owner,0
org.springframework.samples.petclinic.owner.OwnerController,4
org.springframework.samples.petclinic.owner.OwnerRepository,0
org.springframework.samples.petclinic.owner.package-info,2
org.springframework.samples.petclinic.owner.Pet,3
org.springframework.samples.petclinic.owner.PetController,4
org.springframework.samples.petclinic.owner.PetType,2
org.springframework.samples.petclinic.owner.PetTypeFormatter,2
org.springframework.samples.petclinic.owner.PetTypeRepository,2
org.springframework.samples.petclinic.owner.PetValidator,2
org.springframework.samples.petclinic.owner.Visit,3
org.springframework.samples.petclinic.owner.VisitController,4
org.springframework.samples.petclinic.system.CacheConfiguration,2
org.springframework.samples.petclinic.system.CrashController,2
org.springframework.samples.petclinic.system.package-info,2
org.springframework.samples.petclinic.system.WebConfiguration,2
org.springframework.samples.petclinic.system.WelcomeController,2
org.springframework.samples.petclinic.vet.package-info,2
org.springframework.samples.petclinic.vet.Specialty,2
org.springframework.samples.petclinic.vet.Vet,1
org.springframework.samples.petclinic.vet.VetController,0
org.springframework.samples.petclinic.vet.VetRepository,1
org.springframework.samples.petclinic.vet.Vets,2
