class_name,tfidf_application,tfidf_cache,tfidf_clinic,tfidf_configuration,tfidf_formatter,tfidf_hints,tfidf_owner,tfidf_pet,tfidf_runtime,tfidf_type,tfidf_validator,tfidf_vet,tfidf_visit,tfidf_web
Owner,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PetController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PetValidator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046072395154895,0.0,0.0,0.8633490220232819,0.0,0.0,0.0
Vet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Visit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PetClinicApplication,0.6915944124170981,0.0,0.5985839900960296,0.0,0.0,0.0,0.0,0.40422070149135786,0.0,0.0,0.0,0.0,0.0,0.0
PetClinicRuntimeHints,0.0,0.0,0.49231536769938294,0.0,0.0,0.5688133379466754,0.0,0.33245804528533174,0.5688133379466754,0.0,0.0,0.0,0.0,0.0
VetController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VisitController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OwnerController,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PetTypeFormatter,0.0,0.0,0.0,0.0,0.6534952829518466,0.0,0.0,0.3819526545520687,0.0,0.6534952829518466,0.0,0.0,0.0,0.0
CacheConfiguration,0.0,0.7561206270556105,0.0,0.6544322710113175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WebConfiguration,0.0,0.0,0.0,0.6544322710113175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7561206270556105
